iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.03614238
1000,-1.0,2.0,8,0.028577674
1500,-1.0,2.0,9,0.028965238
2000,-0.91,2.09,11,0.03426759
2500,-1.0,2.0,8,0.03779529
3000,-1.0,2.0,10,0.027689738
3500,-1.0,2.0,9,0.01884668
4000,-1.0,2.0,8,0.034288544
4500,-1.0,2.0,10,0.02396482
5000,-1.0,2.0,10,0.035165522
5500,-1.0,2.0,8,0.045189284
6000,-1.0,2.0,8,0.04156229
6500,-1.0,2.0,9,0.029782504
7000,-0.88,2.12,8,0.0438836
7500,-1.0,2.0,13,0.038125545
8000,-1.0,2.0,8,0.04370276
8500,-1.0,2.0,9,0.02802688
9000,-1.0,2.0,10,0.032975093
9500,-1.0,2.0,9,0.039837204
10000,-1.0,2.0,10,0.03399307
10500,-1.0,2.0,9,0.04854256
11000,-1.0,2.0,8,0.05080899
11500,-1.0,2.0,8,0.039440326
12000,-1.0,2.0,9,0.033410385
12500,-1.0,2.0,8,0.0344863
13000,-1.0,2.0,8,0.045795772
13500,-0.88,2.12,8,0.04730411
14000,-1.0,2.0,9,0.044859327
14500,-0.88,2.12,8,0.043487344
15000,-1.0,2.0,8,0.04208824
15500,-1.0,2.0,8,0.04178744
16000,-1.0,2.0,8,0.041554965
16500,-0.88,2.12,8,0.030191094
17000,-0.89,2.11,9,0.047162935
17500,-1.0,2.0,8,0.0319229
18000,-1.0,2.0,9,0.043369424
18500,-1.0,2.0,10,0.032633454
19000,-1.0,2.0,9,0.039363384
19500,-0.88,2.12,8,0.033541664
20000,-1.0,2.0,9,0.0278048
20500,-1.0,2.0,8,0.041451894
21000,-0.89,2.11,9,0.04121913
21500,-1.0,2.0,10,0.027057523
22000,-1.0,2.0,9,0.048736855
22500,-1.0,2.0,8,0.04380842
23000,-1.0,2.0,8,0.05452218
23500,-0.89,2.11,9,0.048010696
24000,-1.0,2.0,8,0.046755373
24500,-1.0,2.0,8,0.04298425
25000,-1.0,2.0,8,0.036635973
25500,-0.91,2.09,11,0.04744266
26000,-1.0,2.0,8,0.048840605
26500,-0.88,2.12,8,0.039315175
27000,-1.0,2.0,10,0.04467478
27500,-1.0,2.0,11,0.04419302
28000,-1.0,2.0,8,0.040651746
28500,-1.0,2.0,8,0.048236847
29000,-1.0,2.0,9,0.039500713
29500,-1.0,2.0,8,0.05856464
30000,-1.0,2.0,9,0.038013004
30500,-1.0,2.0,8,0.033504978
31000,-1.0,2.0,8,0.04755313
31500,-1.0,2.0,9,0.03882915
32000,-1.0,2.0,8,0.042986143
32500,-1.0,2.0,9,0.054514665
33000,-1.0,2.0,9,0.04739576
33500,-1.0,2.0,8,0.05788969
34000,-1.0,2.0,8,0.04512368
34500,-0.75,2.25,8,0.0365022
35000,-1.0,2.0,10,0.036176432
35500,-1.0,2.0,8,0.035743915
36000,-1.0,2.0,8,0.031309295
36500,-1.0,2.0,12,0.052715376
37000,-1.0,2.0,8,0.04214126
37500,-1.0,2.0,10,0.050711595
38000,-1.0,2.0,8,0.05274002
38500,-1.0,2.0,8,0.052346487
39000,-1.0,2.0,10,0.05044975
39500,-1.0,2.0,8,0.04676197
40000,-0.91,2.09,11,0.055023566
40500,-0.88,2.12,8,0.04570592
41000,-1.0,2.0,9,0.044002872
41500,-1.0,2.0,8,0.05407106
42000,-1.0,2.0,8,0.036477134
42500,-1.0,2.0,12,0.038205862
43000,-0.88,2.12,8,0.05084739
43500,-1.0,2.0,12,0.05383964
44000,-1.0,2.0,8,0.04063266
44500,-0.8,2.2,10,0.040213037
45000,-0.9,2.1,10,0.03692713
45500,-1.0,2.0,9,0.03958402
46000,-1.0,2.0,9,0.051055346
46500,-0.88,2.12,8,0.032888547
47000,-1.0,2.0,8,0.05235504
47500,-0.8,2.2,10,0.049915276
48000,-1.0,2.0,8,0.04738454
48500,-1.0,2.0,8,0.04634824
49000,-1.0,2.0,8,0.052826665
49500,-1.0,2.0,10,0.041557584
50000,-1.0,2.0,10,0.04434039
50500,-1.0,2.0,9,0.04746568
51000,-1.0,2.0,8,0.03695816
51500,-1.0,2.0,9,0.039835144
52000,-0.89,2.11,9,0.0462704
52500,-1.0,2.0,11,0.047581762
53000,-1.0,2.0,8,0.040944662
53500,-0.91,2.09,11,0.062359206
54000,-1.0,2.0,11,0.045629095
54500,-1.0,2.0,9,0.03364688
55000,-0.89,2.11,9,0.044237856
55500,-1.0,2.0,9,0.051925957
56000,-1.0,2.0,8,0.05676528
56500,-1.0,2.0,9,0.058901645
57000,-1.0,2.0,8,0.05063937
57500,-1.0,2.0,8,0.0539032
58000,-1.0,2.0,9,0.06326691
58500,-1.0,2.0,8,0.04740047
59000,-1.0,2.0,9,0.04315166
59500,-1.0,2.0,8,0.0456138
60000,-1.0,2.0,8,0.043377217
60500,-0.9,2.1,10,0.058453254
61000,-1.0,2.0,9,0.054207694
61500,-1.0,2.0,8,0.048682794
62000,-1.0,2.0,8,0.043888707
62500,-1.0,2.0,8,0.039195076
63000,-1.0,2.0,8,0.0344437
63500,-0.89,2.11,9,0.05454478
64000,-0.88,2.12,8,0.039028335
64500,-1.0,2.0,10,0.040237125
65000,-1.0,2.0,9,0.052208334
65500,-0.89,2.11,9,0.041049767
66000,-0.8,2.2,10,0.048230436
66500,-1.0,2.0,9,0.040328205
67000,-1.0,2.0,8,0.041700732
67500,-0.9,2.1,10,0.040814232
68000,-1.0,2.0,8,0.03810674
68500,-1.0,2.0,9,0.04943724
69000,-1.0,2.0,8,0.059142075
69500,-1.0,2.0,10,0.04358783
70000,-1.0,2.0,9,0.05686041
70500,-1.0,2.0,10,0.032128718
71000,-1.0,2.0,9,0.036127586
71500,-1.0,2.0,11,0.051610563
72000,-0.89,2.11,9,0.040123634
72500,-1.0,2.0,8,0.04086361
73000,-1.0,2.0,10,0.023699185
73500,-1.0,2.0,9,0.047371507
74000,-1.0,2.0,8,0.054902334
74500,-1.0,2.0,12,0.056630395
75000,-1.0,2.0,8,0.041849773
75500,-1.0,2.0,11,0.049611993
76000,-1.0,2.0,10,0.051346425
76500,-1.0,2.0,10,0.06219314
77000,-1.0,2.0,10,0.04828692
77500,-1.0,2.0,8,0.031833507
78000,-1.0,2.0,8,0.04848167
78500,-0.89,2.11,9,0.043145705
79000,-1.0,2.0,9,0.034784842
79500,-1.0,2.0,9,0.04794637
80000,-1.0,2.0,10,0.05289488
80500,-0.9,2.1,10,0.038951892
81000,-1.0,2.0,8,0.045171786
81500,-1.0,2.0,8,0.054373085
82000,-1.0,2.0,10,0.043168128
82500,-1.0,2.0,8,0.045505855
83000,-1.0,2.0,10,0.03716411
83500,-1.0,2.0,9,0.039804317
84000,-0.89,2.11,9,0.03937493
84500,-1.0,2.0,8,0.04344231
85000,-1.0,2.0,9,0.042965636
85500,-1.0,2.0,8,0.039072327
86000,-1.0,2.0,8,0.05307139
86500,-1.0,2.0,8,0.039580747
87000,-0.9,2.1,10,0.04748424
87500,-1.0,2.0,10,0.057773296
88000,-1.0,2.0,10,0.054329816
88500,-1.0,2.0,11,0.0353588
89000,-1.0,2.0,10,0.04838183
89500,-1.0,2.0,9,0.03395836
90000,-1.0,2.0,9,0.04831504
90500,-1.0,2.0,10,0.057358854
91000,-1.0,2.0,11,0.041315153
91500,-0.89,2.11,9,0.057291336
92000,-1.0,2.0,10,0.056440108
92500,-1.0,2.0,8,0.050608
93000,-1.0,2.0,8,0.041480713
93500,-1.0,2.0,11,0.053702317
94000,-1.0,2.0,8,0.047222294
94500,-1.0,2.0,8,0.047622137
95000,-0.9,2.1,10,0.0475651
95500,-1.0,2.0,10,0.04118818
96000,-1.0,2.0,9,0.0483433
96500,-1.0,2.0,11,0.04560497
97000,-1.0,2.0,8,0.038531683
97500,-1.0,2.0,9,0.054537337
98000,-1.0,2.0,9,0.01904053
98500,-1.0,2.0,9,0.032768745
99000,-0.75,2.25,8,0.04603626
99500,-1.0,2.0,10,0.0604306
100000,-0.89,2.11,9,0.03503509
100500,-1.0,2.0,10,0.03944309
101000,-1.0,2.0,9,0.041333932
101500,-0.89,2.11,9,0.048233196
102000,-1.0,2.0,8,0.04348007
102500,-1.0,2.0,8,0.043892585
103000,-1.0,2.0,9,0.03276838
103500,-1.0,2.0,10,0.038061086
104000,-0.89,2.11,9,0.034129996
104500,-1.0,2.0,9,0.053144366
105000,-1.0,2.0,8,0.05112988
105500,-0.9,2.1,10,0.043048616
106000,-1.0,2.0,9,0.04540691
106500,-0.8,2.2,10,0.032352835
107000,-1.0,2.0,10,0.050379775
107500,-0.9,2.1,10,0.05070335
108000,-1.0,2.0,8,0.059578083
108500,-1.0,2.0,9,0.03252907
109000,-1.0,2.0,10,0.04745158
109500,-0.88,2.12,8,0.04834578
110000,-1.0,2.0,9,0.03844126
110500,-1.0,2.0,9,0.046004813
111000,-0.88,2.12,8,0.038930185
111500,-1.0,2.0,8,0.066202916
112000,-1.0,2.0,8,0.03966854
112500,-1.0,2.0,11,0.053985745
113000,-0.9,2.1,10,0.05146779
113500,-1.0,2.0,9,0.04745133
114000,-1.0,2.0,9,0.0564803
114500,-1.0,2.0,11,0.041660607
115000,-1.0,2.0,8,0.046972714
115500,-0.9,2.1,10,0.052465305
116000,-1.0,2.0,8,0.057096414
116500,-1.0,2.0,9,0.07155865
117000,-0.89,2.11,9,0.06044144
117500,-1.0,2.0,11,0.032785065
118000,-1.0,2.0,11,0.047040727
118500,-1.0,2.0,8,0.037509274
119000,-1.0,2.0,8,0.046014547
119500,-1.0,2.0,8,0.04095279
120000,-1.0,2.0,10,0.044074494
120500,-1.0,2.0,9,0.04146222
121000,-1.0,2.0,8,0.05258174
121500,-0.9,2.1,10,0.043600928
122000,-1.0,2.0,9,0.038734924
122500,-1.0,2.0,9,0.048450306
123000,-1.0,2.0,10,0.05976634
123500,-1.0,2.0,8,0.049184605
124000,-1.0,2.0,8,0.040741466
124500,-1.0,2.0,8,0.032532033
125000,-1.0,2.0,9,0.05798957
125500,-1.0,2.0,9,0.034325894
126000,-1.0,2.0,8,0.041807786
126500,-1.0,2.0,9,0.04680753
127000,-1.0,2.0,9,0.04759941
127500,-1.0,2.0,9,0.049673192
128000,-1.0,2.0,9,0.060837235
128500,-1.0,2.0,8,0.052402508
129000,-1.0,2.0,9,0.047135442
129500,-0.9,2.1,10,0.059955504
130000,-1.0,2.0,8,0.050036836
130500,-1.0,2.0,8,0.056864496
131000,-0.89,2.11,9,0.043570604
131500,-1.0,2.0,8,0.04315429
132000,-1.0,2.0,8,0.04704646
132500,-0.9,2.1,10,0.052598596
133000,-0.89,2.11,9,0.0485839
133500,-1.0,2.0,9,0.04519287
134000,-1.0,2.0,9,0.052963227
134500,-1.0,2.0,8,0.042866692
135000,-0.89,2.11,9,0.048054304
135500,-1.0,2.0,8,0.05035428
136000,-1.0,2.0,8,0.04120814
136500,-0.9,2.1,10,0.037213948
137000,-0.88,2.12,8,0.060582407
137500,-1.0,2.0,9,0.038658954
138000,-1.0,2.0,8,0.052608516
138500,-1.0,2.0,8,0.049588885
139000,-1.0,2.0,9,0.045949098
139500,-1.0,2.0,8,0.034452017
140000,-1.0,2.0,8,0.040068887
140500,-1.0,2.0,8,0.054815736
141000,-0.93,2.07,15,0.056881823
141500,-1.0,2.0,9,0.058238503
142000,-1.0,2.0,9,0.045024432
142500,-1.0,2.0,8,0.030069085
143000,-1.0,2.0,9,0.048559327
143500,-1.0,2.0,9,0.049865842
144000,-1.0,2.0,9,0.03723974
144500,-1.0,2.0,10,0.046862975
145000,-1.0,2.0,10,0.06538928
145500,-1.0,2.0,8,0.05928038
146000,-1.0,2.0,9,0.03598001
146500,-1.0,2.0,9,0.04510788
147000,-1.0,2.0,9,0.06127958
147500,-1.0,2.0,11,0.054649763
148000,-1.0,2.0,8,0.049703445
148500,-1.0,2.0,8,0.03853086
149000,-1.0,2.0,8,0.038706664
149500,-1.0,2.0,9,0.055272583
150000,-1.0,2.0,9,0.041010085
150500,-1.0,2.0,8,0.048348304
151000,-1.0,2.0,9,0.047618344
151500,-0.83,2.17,12,0.03591828
152000,-1.0,2.0,8,0.037311863
152500,-1.0,2.0,9,0.045824
153000,-1.0,2.0,8,0.053187624
153500,-1.0,2.0,8,0.047701523
154000,-1.0,2.0,10,0.047404826
154500,-1.0,2.0,9,0.04792452
155000,-0.89,2.11,9,0.03739339
155500,-1.0,2.0,10,0.050576214
156000,-1.0,2.0,8,0.045872778
156500,-1.0,2.0,10,0.045652766
157000,-1.0,2.0,8,0.04762672
157500,-1.0,2.0,9,0.04905735
158000,-1.0,2.0,9,0.047902696
158500,-1.0,2.0,11,0.05730983
159000,-1.0,2.0,10,0.038832307
159500,-1.0,2.0,8,0.05198047
160000,-0.78,2.22,9,0.04140468
160500,-1.0,2.0,8,0.030288646
161000,-1.0,2.0,9,0.03455697
161500,-1.0,2.0,10,0.041569058
162000,-1.0,2.0,11,0.03064367
162500,-0.88,2.12,8,0.037931845
163000,-1.0,2.0,8,0.047178213
163500,-1.0,2.0,8,0.045280937
164000,-0.88,2.12,8,0.039405838
164500,-1.0,2.0,8,0.046303876
165000,-1.0,2.0,8,0.042706065
165500,-1.0,2.0,10,0.047052674
166000,-0.9,2.1,10,0.054115638
166500,-1.0,2.0,10,0.03416401
167000,-1.0,2.0,8,0.044256825
167500,-0.9,2.1,10,0.051146097
168000,-1.0,2.0,11,0.03738231
168500,-1.0,2.0,9,0.037293818
169000,-1.0,2.0,9,0.05384628
169500,-1.0,2.0,9,0.05601002
170000,-0.89,2.11,9,0.045388166
170500,-1.0,2.0,9,0.043889802
171000,-1.0,2.0,10,0.0428055
171500,-1.0,2.0,8,0.04112305
172000,-1.0,2.0,11,0.04634713
172500,-1.0,2.0,8,0.03429286
173000,-1.0,2.0,9,0.03843714
173500,-0.89,2.11,9,0.047031768
174000,-1.0,2.0,8,0.04788884
174500,-1.0,2.0,10,0.049819402
175000,-1.0,2.0,8,0.039712142
175500,-1.0,2.0,9,0.0371301
176000,-1.0,2.0,9,0.039376594
176500,-1.0,2.0,8,0.043430924
177000,-1.0,2.0,8,0.043969125
177500,-1.0,2.0,8,0.05054848
178000,-1.0,2.0,8,0.033869237
178500,-1.0,2.0,10,0.032086477
179000,-1.0,2.0,8,0.05188897
179500,-1.0,2.0,9,0.047725923
180000,-0.88,2.12,8,0.04124476
180500,-1.0,2.0,10,0.039519876
181000,-1.0,2.0,9,0.04292871
181500,-1.0,2.0,10,0.05648231
182000,-1.0,2.0,11,0.047706563
182500,-0.89,2.11,9,0.029105008
183000,-1.0,2.0,9,0.057672027
183500,-1.0,2.0,9,0.04515972
184000,-1.0,2.0,8,0.05513442
184500,-1.0,2.0,9,0.047975853
185000,-1.0,2.0,10,0.04413638
185500,-1.0,2.0,8,0.043182448
186000,-1.0,2.0,8,0.030319063
186500,-1.0,2.0,9,0.051567666
187000,-1.0,2.0,13,0.0350449
187500,-1.0,2.0,12,0.043895997
188000,-1.0,2.0,11,0.040602766
188500,-1.0,2.0,8,0.042379275
189000,-1.0,2.0,9,0.045474492
189500,-0.89,2.11,9,0.049654648
190000,-1.0,2.0,10,0.051771846
190500,-1.0,2.0,12,0.05193546
191000,-1.0,2.0,9,0.04778596
191500,-1.0,2.0,8,0.050449096
192000,-1.0,2.0,9,0.0433535
192500,-1.0,2.0,10,0.03366391
193000,-1.0,2.0,8,0.060871545
193500,-1.0,2.0,8,0.05263517
194000,-0.88,2.12,8,0.043966062
194500,-1.0,2.0,8,0.041774936
195000,-1.0,2.0,10,0.04317287
195500,-0.8,2.2,10,0.039517894
196000,-1.0,2.0,11,0.04134805
196500,-1.0,2.0,8,0.046141576
197000,-1.0,2.0,8,0.0412168
197500,-0.89,2.11,9,0.05318423
198000,-0.88,2.12,8,0.04337819
198500,-1.0,2.0,11,0.048088722
199000,-1.0,2.0,9,0.04184654
199500,-1.0,2.0,9,0.04315029
200000,-1.0,2.0,8,0.043960433
